"schema_name","table_name"
"imp_kfm_ul","REORGhistoryAuthCapital"
"imp_kfm_ul","REORGhistoryClassificationInfo"
"imp_kfm_ul","REORGhistoryFoundersFl"
"imp_kfm_ul","REORGhistoryFoundersInfo"
"imp_kfm_ul","REORGhistoryFoundersUl"
"imp_kfm_ul","REORGhistoryHeadOrgInfo"
"imp_kfm_ul","REORGhistoryIdentificationAddInfo"
"imp_kfm_ul","REORGhistoryLeaderInfo"
"imp_kfm_ul","REORGhistoryLiquidationInfo"
"imp_kfm_ul","REORGidentificationAddInfo"
"imp_kfm_ul","REORGidentificationInfo"
"imp_kfm_ul","REORGleaderInfo"
"imp_kfm_ul","REORGztFaces"
"imp_kfm_ul","activities"
"imp_kfm_ul","activitiesACT"
"imp_kfm_ul","address"
"imp_kfm_ul","classificationInfo"
"imp_kfm_ul","foundersFl"
"imp_kfm_ul","foundersInfo"
"imp_kfm_ul","foundersUl"
"imp_kfm_ul","headOrgInfo"
"imp_kfm_ul","historyActivities"
"imp_kfm_ul","historyActivitiesACT"
"imp_kfm_ul","historyActualStat"
"imp_kfm_ul","historyAddress"
"imp_kfm_ul","historyAuthCapital"
"imp_kfm_ul","historyClassificationInfo"
"imp_kfm_ul","historyFoundersFl"
"imp_kfm_ul","historyFoundersInfo"
"imp_kfm_ul","historyFoundersUl"
"imp_kfm_ul","historyHeadOrgInfo"
"imp_kfm_ul","historyIdentificationAddInfo"
"imp_kfm_ul","historyLeaderInfo"
"imp_kfm_ul","historyLiquidationInfo"
"imp_kfm_ul","identificationAddInfo"
"imp_kfm_ul","identificationInfo"
"imp_kfm_ul","leaderInfo"
"imp_kfm_ul","mv_ul_dir_founder"
"imp_kfm_ul","ul_founder_fl"
"imp_kfm_ul","ul_founder_ul"
"imp_kfm_ul","ul_leader"
"imp_kfm_ul","ztFaces"
"imp_kfm_ul_10.04.24","ActualStat"
"imp_kfm_ul_10.04.24","AuthCapital"
"imp_kfm_ul_10.04.24","ETL_COLUMN_MAPPING"
"imp_kfm_ul_10.04.24","LIQUIDActualStat"
"imp_kfm_ul_10.04.24","LIQUIDAuthCapital"
"imp_kfm_ul_10.04.24","LIQUIDLiquidationInfo"
"imp_kfm_ul_10.04.24","LIQUIDactivities"
"imp_kfm_ul_10.04.24","LIQUIDactivitiesACT"
"imp_kfm_ul_10.04.24","LIQUIDaddress"
"imp_kfm_ul_10.04.24","LIQUIDclassificationInfo"
"imp_kfm_ul_10.04.24","LIQUIDfoundersFl"
"imp_kfm_ul_10.04.24","LIQUIDfoundersInfo"
"imp_kfm_ul_10.04.24","LIQUIDfoundersUl"
"imp_kfm_ul_10.04.24","LIQUIDheadOrgInfo"
"imp_kfm_ul_10.04.24","LIQUIDhistoryActivities"
"imp_kfm_ul_10.04.24","LIQUIDhistoryActivitiesACT"
"imp_kfm_ul_10.04.24","LIQUIDhistoryActualStat"
"imp_kfm_ul_10.04.24","LIQUIDhistoryAddress"
"imp_kfm_ul_10.04.24","LIQUIDhistoryAuthCapital"
"imp_kfm_ul_10.04.24","LIQUIDhistoryClassificationInfo"
"imp_kfm_ul_10.04.24","LIQUIDhistoryFoundersFl"
"imp_kfm_ul_10.04.24","LIQUIDhistoryFoundersInfo"
"imp_kfm_ul_10.04.24","LIQUIDhistoryFoundersUl"
"imp_kfm_ul_10.04.24","LIQUIDhistoryHeadOrgInfo"
"imp_kfm_ul_10.04.24","LIQUIDhistoryIdentificationAddInfo"
"imp_kfm_ul_10.04.24","LIQUIDhistoryLeaderInfo"
"imp_kfm_ul_10.04.24","LIQUIDhistoryLiquidationInfo"
"imp_kfm_ul_10.04.24","LIQUIDidentificationAddInfo"
"imp_kfm_ul_10.04.24","LIQUIDidentificationInfo"
"imp_kfm_ul_10.04.24","LIQUIDleaderInfo"
"imp_kfm_ul_10.04.24","LIQUIDztFaces"
"imp_kfm_ul_10.04.24","LiquidationInfo"
"imp_kfm_ul_10.04.24","REORGActualStat"
"imp_kfm_ul_10.04.24","REORGAuthCapital"
"imp_kfm_ul_10.04.24","REORGLiquidationInfo"
"imp_kfm_ul_10.04.24","REORGactivities"
"imp_kfm_ul_10.04.24","REORGactivitiesACT"
"imp_kfm_ul_10.04.24","REORGaddress"
"imp_kfm_ul_10.04.24","REORGclassificationInfo"
"imp_kfm_ul_10.04.24","REORGfoundersFl"
"imp_kfm_ul_10.04.24","REORGfoundersInfo"
"imp_kfm_ul_10.04.24","REORGfoundersUl"
"imp_kfm_ul_10.04.24","REORGheadOrgInfo"
"imp_kfm_ul_10.04.24","REORGhistoryActivities"
"imp_kfm_ul_10.04.24","REORGhistoryActivitiesACT"
"imp_kfm_ul_10.04.24","REORGhistoryActualStat"
